state,x,y
Волинська, -209, 151
Львівська, -246, 77
Закарпатська, -271, 24
Рівненська, -151, 137
Тернопільська, -188, 59
Івано-Франківська, -220, 27
Чернівецька, -184, -2
Житомирська, -95, 115
Вінницька, -110, 25
Київська, -28, 91
Черкаська, -16, 35
Кіровоградська, 4, 5
Миколаївська, 23, -52
Одеська, -39, -65
Херсонська, 77, -93
Крим, 94, -156
Запорізька, 151, -59
Дніпропетровська, 101, 5
Полтавська, 77, 64
Чернігівська, 21, 142
Сумська, 80, 122
Харківська, 168, 60
Донецька, 200, -11
Луганська, 248, 31
